"detector_id","detector_type","detector_status","detector_direction","detector_movement","location_name","atd_location_id","signal_id","created_date","modified_date","ip_comm_status","comm_status_datetime_utc","location_latitude","location_longitude","LOCATION"
"6,953","GRIDSMART","BROKEN","NORTHBOUND, WESTBOUND, EASTBOUND, SOUTHBOUND","RIGHT TURN, THRU / LEFT TURN",,,,"2019 Aug 13 12:00:00 AM","2019 Aug 13 03:21:00 PM",,,,,
"6,437","LOOP","OK","NORTHBOUND","THRU / LEFT TURN"," BRODIE LN / INDIAN POINT DR","LOC16-004505","918","2018 Jun 12 12:00:00 AM","2023 Dec 20 08:56:00 PM",,,,,"POINT (-97.85701 30.172396)"
"2,057","LOOP","OK","EASTBOUND","LEFT TURN","FM 620 RD / BOULDER LN (South)","LOC16-004375","888","2017 Jun 26 12:00:00 AM","2025 Apr 15 06:52:00 PM",,,,,"POINT (-97.842659 30.428783)"
"617","LOOP","OK","EASTBOUND","LEFT TURN"," MENCHACA RD / WILLIAM CANNON DR","LOC16-000960","194",,"2024 Nov 06 05:23:00 PM",,,,,"POINT (-97.806908 30.202913)"
"1,076","LOOP","BROKEN","WESTBOUND","THRU / RIGHT TURN"," WILLIAM CANNON DR / BRUSH COUNTRY RD","LOC16-002130","434",,"2025 Sep 11 10:52:00 PM",,,,,"POINT (-97.841698 30.223387)"
"6,475","LOOP","OK","NORTHBOUND","SETBACK"," MENCHACA RD / MATTHEWS LN","LOC16-000965","195","2018 Jul 02 12:00:00 AM","2025 Feb 06 08:56:00 PM",,,,,"POINT (-97.807335 30.199965)"
"3,757","VIDEO","OK","EASTBOUND","THRU / RIGHT TURN"," 1ST ST / FLOURNOY DR","LOC16-001955","399","2017 Jun 16 12:00:00 AM","2025 Feb 25 08:23:00 PM",,,,,"POINT (-97.783821 30.203835)"
"5,765","VIDEO","OK - MINOR ISSUE","SOUTHBOUND","THRU / RIGHT TURN, LEFT TURN"," LAMAR BLVD / 40TH ST","LOC16-001000","202","2017 Sep 11 12:00:00 AM","2025 Sep 12 04:45:00 PM",,,,,"POINT (-97.741386 30.307861)"
"1,726","LOOP","OK","EASTBOUND","LEFT TURN"," CAMERON RD / RUNDBERG LN","LOC16-004690","960","2017 Jun 28 12:00:00 AM","2023 Dec 17 07:51:00 PM",,,,,"POINT (-97.675972 30.350773)"
"5,118","LOOP","OK","SOUTHBOUND","THRU / LEFT TURN"," PORTER ST / MONTOPOLIS DR","LOC16-002700","551","2017 Jun 15 12:00:00 AM","2023 Nov 06 07:18:00 PM",,,,,"POINT (-97.69957 30.231056)"
"6,670","LOOP","OK","WESTBOUND","THRU / LEFT TURN"," MENCHACA RD / BERKELEY AVE","LOC16-000955","193","2019 Feb 06 12:00:00 AM","2023 Dec 04 07:00:00 PM",,,,,"POINT (-97.804848 30.20858)"
"3,058","LOOP","REMOVED","NORTHBOUND","THRU / RIGHT TURN"," ED BLUESTEIN BLVD / 51ST ST","LOC16-003635","737","2017 Jun 23 12:00:00 AM","2020 Jun 22 06:54:00 PM",,,,,"POINT (-97.663628 30.292303)"
"2,805","LOOP","REMOVED","WESTBOUND","LEFT TURN"," MOPAC EXPY / LA CROSSE AVE","LOC16-003840","781","2017 Jun 23 12:00:00 AM","2022 Jul 12 12:11:00 PM",,,,,"POINT (-97.873253 30.190466)"
"6,015","VIDEO","OK","WESTBOUND","LEFT TURN, THRU / RIGHT TURN"," TUSCANY WAY / 290 HWY SVRD","LOC16-004825","987","2017 Sep 11 12:00:00 AM","2025 Apr 29 05:00:00 PM",,,,,"POINT (-97.659348 30.327848)"
"483","RADAR - SmartMicro","OK","EASTBOUND","LEFT TURN"," BURNET RD / ROCKWOOD LN","LOC16-000365","74",,"2023 Dec 17 07:10:00 PM",,,,,"POINT (-97.727585 30.368286)"
